GEOID,avg_hourly_wage
0603746,24.6780010950887
0603747,39.14718136915358
0603748,78.20808680109481
0603750,27.203779793650696
0603751,22.68133718992845
0603752,27.112875537878494
0603753,33.208489734001844
0603754,39.10274707261272
0603757,25.474259385428947
0603758,31.147772138802086
0603759,33.752356517400635
0603760,66.2824066510503
0603761,47.26664119790622
0603762,36.543526415311874
0603763,35.80608163249136
0603764,39.393153931742084
0603766,30.653852301303612
0603767,46.77109260015228
0603768,67.67696287747789
0603770,57.312803111446996
0603771,44.81441920620562
0603772,49.222720741613585
0603773,59.67852245450919
0603774,200.653339588224
0603775,79.4129751267144
0603776,47.46152104719707
0603778,29.982349741367624
0603779,48.64709642434557
0603780,32.255664910262475
0603781,30.949391711322207
0603782,29.340349815000437
0603900,29.96060014959245
0604103,60.58602422781356
0604104,105.89538160028697
0604701,35.46547450118843
0604702,28.54372954573294
0605301,51.6096408535578
0605302,30.295154951896475
0605303,29.161946687111644
0605500,66.20736568747796
0605700,65.04205208214101
0605906,61.63869654262151
0605907,41.60744737615914
0605908,43.39482525662424
0605909,29.727444653861806
0605912,38.36308787673492
0605913,30.824191102375163
0605914,50.39914169823681
0605916,25.67263013269703
0605917,30.143327621915244
0605918,48.69682399199593
0605919,35.34290325447421
0605920,42.36427628090644
0605921,75.43042115282046
0605922,45.72884804929419
0605923,51.14779060396147
0605924,81.84767721988638
0605925,96.91019526236524
0605926,59.22024840711426
0605927,58.975950327544304
0605928,58.74714024937219
0606101,43.44611447582755
0606102,47.32033469453333
0606103,61.59833229940605
0606501,38.15978482167175
0606502,46.446066705729244
0606507,37.83158591805409
0606509,31.783135856416475
0606511,30.934437555717725
0606514,33.293274078205656
0606515,49.97432805926061
0606516,47.09438753754038
0606517,36.79054414447911
0606518,28.708690911364805
0606519,34.37032460727667
0606520,35.0250577050534
0606521,43.19157317001857
0606522,31.76827147563403
0606523,51.569457180714515
0606524,41.723808718771494
0606525,29.760454429856214
0606701,36.330513516267246
0606703,42.83117886947291
0606704,30.91474408161459
0606705,53.32154354076109
0606706,31.455283476573822
0606707,45.77097727956581
0606709,32.96032481538831
0606712,55.250122765383296
0606713,33.4803164587653
0606714,30.99995316249153
0606715,44.17340877310734
0606716,34.2089124604936
0606717,50.387229761074025
0607101,33.10973337068362
0607102,31.849797653001662
0607103,31.185655544838134
0607104,36.82736311164138
0607105,83.57273177700603
0607107,26.34000029976636
0607108,24.367562970584057
0607110,25.344050763733133
0607111,40.62277711573843
0607112,40.71366461051458
0607115,68.23478867289798
0607116,31.41243039657689
0607117,30.30449327188351
0607118,33.741960064322015
0607119,38.363289229872166
0607301,71.36688082851177
0607302,68.79822774510589
0607306,38.15181882070182
0607307,37.15435382675937
0607308,56.9677254650099
0607310,58.585562659488
0607311,83.52714125012714
0607312,37.294476420408856
0607313,38.481455297005
0607314,45.95032650514501
0607315,53.78379439670012
0607316,69.84181186969818
0607317,40.82611390467859
0607322,28.76039877228122
0607323,38.76394942576427
0607324,72.08435467105014
0607325,57.98408889777015
0607326,81.34155557211729
0607327,29.829089584268317
0607328,34.91780621651772
0607329,45.293154821477096
0607330,37.226210496876504
0607507,45.5694745647406
0607508,73.2103961342156
0607509,52.42146938637381
0607510,71.87707482967683
0607511,90.170296103783
0607512,88.18769870033326
0607513,72.81344460624915
0607514,79.20005006256467
0607705,38.93278762303784
0607706,25.908979464438186
0607707,47.38086141273113
0607708,38.412788458749965
0607709,37.310078685447614
0607901,39.669162771225984
0607902,52.824471894264256
0608101,45.42153699178332
